hari,Time,latency_ms,packet_loss_percent,bits_sent_mbps,bits_received_mbps,total_traffic_mbps,latency_z,packet_loss_z,total_traffic_z,cluster_raw,tingkat_gangguan
Rabu,2026-07-08 14:21:00,0.7346666666666667,0.0,3.06,13.0,16.06,-0.8911924422008228,-0.12446097204675334,0.2152595927994877,0,Rendah
Rabu,2026-07-08 14:24:00,1.3433333333333335,0.0,3.18,13.3,16.48,-0.016951831690606434,-0.12446097204675334,0.24772385204303543,0,Rendah
Rabu,2026-07-08 14:27:00,0.7766666666666667,0.0,2.8,11.6,14.399999999999999,-0.8308669674339623,-0.12446097204675334,0.08694847293213281,0,Rendah
Rabu,2026-07-08 14:30:00,0.9266666666666666,0.0,2.59,11.5,14.09,-0.6154188432666036,-0.12446097204675334,0.0629867577761811,0,Rendah
Rabu,2026-07-08 14:33:00,0.9546666666666667,0.0,1.15,10.4,11.55,-0.5752018600886966,-0.12446097204675334,-0.13334471479194013,0,Rendah
Rabu,2026-07-08 14:36:00,0.8506666666666667,0.0,0.89,11.6,12.49,-0.7245792261780654,-0.12446097204675334,-0.06068661077066693,0,Rendah
Rabu,2026-07-08 14:39:00,0.9493333333333333,0.0,0.59,10.5,11.09,-0.5828622378368694,-0.12446097204675334,-0.168900808249159,0,Rendah
Rabu,2026-07-08 14:42:00,0.766,0.0,0.788,12.1,12.888,-0.8461877229303079,-0.12446097204675334,-0.0299228603446385,0,Rendah
Rabu,2026-07-08 14:45:00,0.738,0.0,0.52,9.24,9.76,-0.8864047061082149,-0.12446097204675334,-0.27170429585372646,0,Rendah
Rabu,2026-07-08 14:48:00,1.1053333333333333,0.0,0.469,9.46,9.929,-0.35879618870281615,-0.12446097204675334,-0.2586412963009656,0,Rendah
Rabu,2026-07-08 14:51:00,0.7686666666666667,0.0,0.444,8.97,9.414000000000001,-0.8423575340562215,-0.12446097204675334,-0.2984486618019822,0,Rendah
Rabu,2026-07-08 14:54:00,1.0246666666666666,0.0,0.507,9.24,9.747,-0.47465940214392915,-0.12446097204675334,-0.2727091419731696,0,Rendah
Rabu,2026-07-08 14:57:00,0.9966666666666667,0.0,0.769,11.0,11.769,-0.514876385321836,-0.12446097204675334,-0.11641692247209035,0,Rendah
Rabu,2026-07-08 15:00:00,0.7653333333333333,0.0,0.833,15.7,16.532999999999998,-0.8471452701488296,-0.12446097204675334,0.25182053237614954,0,Rendah
Rabu,2026-07-08 15:03:00,1.2,0.0,0.458,8.24,8.698,-0.22282448367274965,-0.12446097204675334,-0.35379249422669684,0,Rendah
Rabu,2026-07-08 15:06:00,0.9616666666666666,0.0,0.584,12.1,12.684,-0.5651476142942199,-0.12446097204675334,-0.04569121483436168,0,Rendah
Rabu,2026-07-08 15:09:00,0.9086666666666666,0.0,0.534,10.2,10.734,-0.6412726181666867,-0.12446097204675334,-0.1964181327508327,0,Rendah
Rabu,2026-07-08 15:12:00,0.8566666666666668,0.0,0.399,5.33,5.729,-0.7159613012113708,-0.12446097204675334,-0.5832838887364418,0,Rendah
Rabu,2026-07-08 15:15:00,0.9400000000000001,0.0,0.501,7.46,7.961,-0.5962678988961715,-0.12446097204675334,-0.41075953961358874,0,Rendah
Rabu,2026-07-08 15:18:00,0.931,0.0,0.486,7.13,7.616,-0.609194786346213,-0.12446097204675334,-0.4374266097065029,0,Rendah
Rabu,2026-07-08 15:21:00,0.8126666666666665,0.0,0.341,6.79,7.131,-0.7791594176337965,-0.12446097204675334,-0.47491509954726613,0,Rendah
Rabu,2026-07-08 15:24:00,0.8376666666666667,0.0,0.328,6.66,6.988,-0.7432513969392365,-0.12446097204675334,-0.4859684068611407,0,Rendah
Rabu,2026-07-08 15:27:00,0.9279999999999999,0.0,0.472,8.8,9.272,-0.6135037488295604,-0.12446097204675334,-0.3094246732605151,0,Rendah
Rabu,2026-07-08 15:30:00,0.9356666666666666,0.0,0.491,11.1,11.591,-0.602491955816562,-0.12446097204675334,-0.13017558472292726,0,Rendah
Rabu,2026-07-08 15:33:00,2.473333333333333,0.0,0.457,11.8,12.257000000000001,1.6060907037034966,-0.12446097204675334,-0.07869654506530159,0,Rendah
Rabu,2026-07-08 15:36:00,1.184,0.0,0.459,11.2,11.658999999999999,-0.24580561691726793,-0.12446097204675334,-0.12491946655968625,0,Rendah
Rabu,2026-07-08 15:39:00,0.8953333333333333,0.0,0.446,10.9,11.346,-0.6604235625371185,-0.12446097204675334,-0.1491130692816633,0,Rendah
Rabu,2026-07-08 15:42:00,0.7233333333333333,0.0,0.502,12.3,12.802000000000001,-0.90747074491569,-0.12446097204675334,-0.036570303904031466,0,Rendah
Rabu,2026-07-08 15:45:00,0.823,0.0,0.605,14.1,14.705,-0.7643174357467116,-0.12446097204675334,0.11052370881137584,0,Rendah
Rabu,2026-07-08 15:48:00,1.2366666666666666,0.0,0.522,10.2,10.722,-0.17015938665406197,-0.12446097204675334,-0.1973456830149341,0,Rendah
Rabu,2026-07-08 15:51:00,0.9246666666666666,0.0,0.483,11.0,11.483,-0.6182914849221683,-0.12446097204675334,-0.13852353709983942,0,Rendah
Rabu,2026-07-08 15:54:00,0.7239999999999999,0.0,0.388,9.07,9.458,-0.9065131976971685,-0.12446097204675334,-0.295047644166944,0,Rendah
Rabu,2026-07-08 15:57:00,1.0343333333333333,0.0,0.671,8.67,9.341,-0.46077496747536595,-0.12446097204675334,-0.30409125924193237,0,Rendah
Kamis,2026-07-09 08:06:00,2.07,0.0,0.0155,0.00311,0.01861,1.0267746364979315,-0.12446097204675334,-1.024673368121589,0,Rendah
Kamis,2026-07-09 08:09:00,1.0386666666666666,11.1,0.0884,0.751,0.8394,-0.4545509105549756,8.034647195462632,-0.9612297030156095,1,Tinggi
Kamis,2026-07-09 08:12:00,1.5166666666666666,0.0,0.161,1.5,1.661,0.23201044512500796,-0.12446097204675334,-0.897723428266803,0,Rendah
Kamis,2026-07-09 08:15:00,1.1076666666666666,0.0,0.0634,0.428,0.4914,-0.35544477343799064,-0.12446097204675334,-0.9881286606745489,0,Rendah
Kamis,2026-07-09 08:18:00,3.9113333333333333,11.1,0.0888,0.503,0.5918,3.671520054054577,8.034647195462632,-0.9803681567982343,1,Tinggi
Kamis,2026-07-09 08:21:00,1.8286666666666667,0.0,0.233,2.35,2.583,0.6801425433931144,-0.12446097204675334,-0.8264566496416818,0,Rendah
Kamis,2026-07-09 08:24:00,1.902,0.0,0.0831,0.602,0.6850999999999999,0.7854727374304898,-0.12446097204675334,-0.9731564534948461,0,Rendah
Kamis,2026-07-09 08:27:00,1.4166666666666667,0.0,0.14,0.526,0.666,0.0883783623467689,-0.12446097204675334,-0.974632804331874,0,Rendah
Kamis,2026-07-09 08:30:00,0.9906666666666667,0.0,0.093,0.427,0.52,-0.5234943102885303,-0.12446097204675334,-0.985917999211774,0,Rendah
Kamis,2026-07-09 08:33:00,2.3333333333333335,0.0,0.115,0.565,0.6799999999999999,1.4050057878139621,-0.12446097204675334,-0.9735506623570892,0,Rendah
Kamis,2026-07-09 08:36:00,1.0933333333333335,0.0,0.178,2.17,2.348,-0.37603203863620455,-0.12446097204675334,-0.844621175647,0,Rendah
Kamis,2026-07-09 08:39:00,1.3666666666666665,0.0,0.161,0.811,0.9720000000000001,0.016562320957648886,-0.12446097204675334,-0.9509802725972895,0,Rendah
Kamis,2026-07-09 08:42:00,1.36,0.0,0.857,16.5,17.357,0.006986848772433354,-0.12446097204675334,0.31551231717777645,0,Rendah
Kamis,2026-07-09 08:45:00,1.49,0.0,0.903,15.6,16.503,0.19370855638414422,-0.12446097204675334,0.24950165671589636,0,Rendah
Kamis,2026-07-09 08:48:00,1.2733333333333334,0.0,1.4,27.9,29.299999999999997,-0.11749428963537399,-0.12446097204675334,1.2386567175246554,0,Rendah
Kamis,2026-07-09 08:51:00,6.402666666666668,0.0,2.46,39.3,41.76,7.24987400966978,-0.12446097204675334,2.201763075083235,2,Sedang
Kamis,2026-07-09 08:54:00,1.38,0.0,1.78,35.0,36.78,0.03571326532808091,-0.12446097204675334,1.8168297154811703,2,Sedang
Kamis,2026-07-09 08:57:00,1.2566666666666666,0.0,1.64,40.1,41.74,-0.1414329700984141,-0.12446097204675334,2.2002171579763994,2,Sedang
Kamis,2026-07-09 09:00:00,1.26,0.0,1.85,45.3,47.15,-0.13664523400580603,-0.12446097204675334,2.6183877353754292,2,Sedang
Kamis,2026-07-09 09:03:00,1.2766666666666666,0.0,1.71,41.8,43.51,-0.11270655354276624,-0.12446097204675334,2.33703082193135,2,Sedang
Kamis,2026-07-09 09:06:00,1.2333333333333334,0.0,1.5,30.0,31.5,-0.17494712274666974,-0.12446097204675334,1.4087075992765716,0,Rendah
Kamis,2026-07-09 09:09:00,1.21,0.0,1.24,24.5,25.74,-0.2084612753949257,-0.12446097204675334,0.9634834725079184,0,Rendah
Kamis,2026-07-09 09:12:00,1.2833333333333332,0.0,0.875,19.5,20.375,-0.10313108135755038,-0.12446097204675334,0.5487912085992687,0,Rendah
Kamis,2026-07-09 09:15:00,1.304,0.0,0.927,20.2,21.127,-0.0734471175833807,-0.12446097204675334,0.6069176918162872,0,Rendah
Kamis,2026-07-09 09:18:00,1.16,0.0,0.966,20.3,21.266000000000002,-0.2802773167840454,-0.12446097204675334,0.6176618157087947,0,Rendah
Kamis,2026-07-09 09:21:00,1.594,0.0,0.881,20.5,21.381,0.34308592247351316,-0.12446097204675334,0.6265508390730994,0,Rendah
Kamis,2026-07-09 09:24:00,2.1716666666666664,0.0,0.906,19.1,20.006,1.1728005873224747,-0.12446097204675334,0.5202690379781518,2,Sedang
Kamis,2026-07-09 09:27:00,1.971666666666667,0.0,1.22,19.7,20.919999999999998,0.8855364217659969,-0.12446097204675334,0.5909174497605386,0,Rendah
Kamis,2026-07-09 09:30:00,2.595,0.0,1.42,21.8,23.22,1.7808430710836882,-0.12446097204675334,0.7686979170466328,2,Sedang
Kamis,2026-07-09 09:33:00,1.33,0.0,1.18,22.5,23.68,-0.036102776061038455,-0.12446097204675334,0.8042540105038517,0,Rendah
